disease,net_point,net_ci_lo,net_ci_hi,deficit_point,deficit_ci_lo,deficit_ci_hi,excess_point,excess_ci_lo,excess_ci_hi,ci_excludes_zero,transmission_mode,immunity_debt_signal
Hepatitis A,-502.59999999999997,-1080.16,-79,504.4,266,1080.1599999999987,1.8000000000000114,0,187,TRUE,enteric,FALSE
Hepatitis B (newly acquired),-422.80000000000007,-484,-359.19999999999993,422.80000000000007,359.19999999999993,484,0,0,0,TRUE,blood_borne,FALSE
Hepatitis B (unspecified),-4720.399999999998,-5684,-3767.4200000000023,4720.399999999998,3767.4200000000014,5684,0,0,0,TRUE,blood_borne,FALSE
Hepatitis C (newly acquired),471.2000000000003,3.200000000000273,932,195.5999999999999,73,403.39999999999986,666.8000000000002,406.60000000000014,1005,TRUE,blood_borne,FALSE
Hepatitis C (unspecified),-19057.799999999996,-23568.600000000002,-14643,19057.799999999996,14643,23568.600000000002,0,0,0,TRUE,blood_borne,FALSE
Hepatitis D,172.40000000000003,128,227.6,0,0,3,172.40000000000003,131,227.6,TRUE,blood_borne,FALSE
Hepatitis E,-132.79999999999998,-156.79999999999998,-113.54000000000006,132.79999999999998,113.54,156.79999999999998,0,0,0,TRUE,enteric,FALSE
Influenza (laboratory confirmed),435226.20000000007,-137400.6000000001,933208.2000000001,303900.6,137906.6,519766.80000000005,739126.8,382366.19999999995,1071114.8,FALSE,respiratory,TRUE
Legionellosis,1731.3999999999999,1555,1915,0,0,0,1731.3999999999999,1555,1915,TRUE,respiratory,FALSE
Leprosy,-4,-31.60000000000001,17.599999999999998,15,2.8000000000000007,37.00000000000001,11,5.399999999999999,20.4,FALSE,zoonotic,FALSE
Leptospirosis,267,107.34000000000003,423,28,2,70.82999999999996,295,178.17000000000002,425,TRUE,zoonotic,FALSE
Listeriosis,-34.20000000000002,-91.79999999999998,30.60000000000001,70.80000000000001,31.799999999999997,109.19999999999999,36.599999999999994,17.400000000000006,62.400000000000006,FALSE,enteric,FALSE
Malaria,-325.1999999999999,-624,38.399999999999864,592.5999999999999,410.80000000000007,742,267.40000000000003,118,449.19999999999993,FALSE,vector_borne,FALSE
Meningococcal disease (invasive),-874,-1237.6000000000001,-550,874,550,1237.6000000000001,0,0,0,TRUE,respiratory,FALSE
Mumps,-2970.6000000000004,-3939,-1641,2970.6000000000004,1641,3939,0,0,0,TRUE,respiratory,FALSE
Ornithosis,137.39999999999998,111,166.2,0,0,0,137.39999999999998,111,166.2,TRUE,respiratory,FALSE
Paratyphoid,-82,-185.20000000000002,-11.200000000000017,157,121.60000000000001,210.8,75,25.599999999999994,110.39999999999999,TRUE,enteric,TRUE
Pertussis,-5973,-30635.76,16139.400000000001,56678,41936.4,73119.84,50705,42484.08,58075.8,FALSE,respiratory,TRUE
Pneumococcal disease (invasive),361,-849.8000000000011,1743.4000000000005,1317,846.1999999999998,1922.4000000000005,1678,1072.5999999999995,2589.6000000000004,FALSE,respiratory,FALSE
Q fever,561.6000000000001,343.2000000000003,813.6000000000001,155.79999999999995,71.79999999999995,286.1999999999998,717.4000000000001,629.4000000000001,885.4000000000001,TRUE,zoonotic,FALSE
Ross River virus infection,-12112.8,-27708,198,13228,3140,27708,1115.1999999999998,0,3338,FALSE,vector_borne,FALSE
Rotavirus,10621.199999999999,1426.800000000001,19189.199999999997,5133.6,2277.6000000000004,8198.4,15754.8,9625.2,21466.8,TRUE,enteric,TRUE
Rubella,-68.6,-90.19999999999999,-45.800000000000004,68.6,45.800000000000004,90.19999999999999,0,0,0,TRUE,respiratory,FALSE
STEC,2315,1425.7999999999997,3270.6199999999953,0,0,13.200000000000045,2315,1438.9999999999998,3270.6199999999953,TRUE,enteric,FALSE
Salmonellosis,-27760.600000000002,-35054.200000000004,-20398.540000000026,27760.600000000002,20398.540000000005,35054.200000000004,0,0,0,TRUE,enteric,FALSE
Shigellosis,395.59999999999945,-3454,4245.2,2445.2000000000003,862.8,4370,2840.7999999999997,916,5108,FALSE,enteric,FALSE
Syphilis < 2 years,10017,4231.800000000001,15802.199999999999,0,0,0,10017,4231.800000000001,15802.199999999999,TRUE,STI,FALSE
Syphilis > 2 years or unspecified duration,2544.4000000000005,1382.800000000001,3702.4000000000005,0,0,339.39999999999964,2544.4000000000005,1722.2000000000007,3702.4000000000005,TRUE,STI,FALSE
Syphilis congenital,59.800000000000004,47.8,71.8,0,0,0,59.800000000000004,47.8,71.8,TRUE,STI,FALSE
Tetanus,-2.799999999999999,-12.400000000000002,4.399999999999999,7.3999999999999995,3.8000000000000003,14.000000000000002,4.6000000000000005,1.5999999999999996,8.2,FALSE,zoonotic,FALSE
Tuberculosis,671.5999999999995,274.0400000000006,1115.5999999999995,86.40000000000009,12.400000000000091,190.3199999999997,757.9999999999995,464.36000000000035,1127.9999999999995,TRUE,respiratory,FALSE
Typhoid Fever,150.80000000000007,-35.19999999999993,342.79999999999995,194.39999999999998,130.4,256.59999999999997,345.20000000000005,221.40000000000003,473.2,FALSE,enteric,TRUE
Varicella zoster (chickenpox),-7046.800000000001,-11070.399999999998,-3068.800000000001,7046.800000000001,3068.800000000001,11070.399999999998,0,0,0,TRUE,respiratory,FALSE
Varicella zoster (shingles),9155.399999999998,-7939.799999999996,27018.600000000002,1284.800000000001,0,10736.999999999996,10440.199999999999,2797.2000000000007,27018.600000000002,FALSE,respiratory,FALSE
Varicella zoster (unspecified),29422.799999999996,24012,34762.91999999999,1556.2000000000007,666.1799999999993,2458,30978.999999999996,26470,35429.1,TRUE,respiratory,FALSE
