disease,year,month,state,count
Influenza (laboratory confirmed),2013,3,ACT,17
Influenza (laboratory confirmed),2013,4,ACT,13
Influenza (laboratory confirmed),2013,5,ACT,17
Influenza (laboratory confirmed),2013,6,ACT,19
Influenza (laboratory confirmed),2013,7,ACT,48
Influenza (laboratory confirmed),2013,8,ACT,183
Influenza (laboratory confirmed),2013,9,ACT,154
Influenza (laboratory confirmed),2013,10,ACT,41
Influenza (laboratory confirmed),2013,11,ACT,23
Influenza (laboratory confirmed),2013,12,ACT,19
Influenza (laboratory confirmed),2014,1,ACT,19
Influenza (laboratory confirmed),2014,2,ACT,14
Influenza (laboratory confirmed),2014,3,ACT,15
Influenza (laboratory confirmed),2014,4,ACT,14
Influenza (laboratory confirmed),2014,5,ACT,25
Influenza (laboratory confirmed),2014,6,ACT,25
Influenza (laboratory confirmed),2014,7,ACT,108
Influenza (laboratory confirmed),2014,8,ACT,599
Influenza (laboratory confirmed),2014,9,ACT,316
Influenza (laboratory confirmed),2014,10,ACT,69
Influenza (laboratory confirmed),2014,11,ACT,32
Influenza (laboratory confirmed),2014,12,ACT,23
Influenza (laboratory confirmed),2015,1,ACT,24
Influenza (laboratory confirmed),2015,2,ACT,28
Influenza (laboratory confirmed),2015,3,ACT,32
Influenza (laboratory confirmed),2015,4,ACT,29
Influenza (laboratory confirmed),2015,5,ACT,41
Influenza (laboratory confirmed),2015,6,ACT,37
Influenza (laboratory confirmed),2015,7,ACT,332
Influenza (laboratory confirmed),2015,8,ACT,379
Influenza (laboratory confirmed),2015,9,ACT,222
Influenza (laboratory confirmed),2015,10,ACT,52
Influenza (laboratory confirmed),2015,11,ACT,20
Influenza (laboratory confirmed),2015,12,ACT,13
Influenza (laboratory confirmed),2016,1,ACT,17
Influenza (laboratory confirmed),2016,2,ACT,22
Influenza (laboratory confirmed),2016,3,ACT,21
Influenza (laboratory confirmed),2016,4,ACT,20
Influenza (laboratory confirmed),2016,5,ACT,21
Influenza (laboratory confirmed),2016,6,ACT,29
Influenza (laboratory confirmed),2016,7,ACT,92
Influenza (laboratory confirmed),2016,8,ACT,644
Influenza (laboratory confirmed),2016,9,ACT,616
Influenza (laboratory confirmed),2016,10,ACT,74
Influenza (laboratory confirmed),2016,11,ACT,30
Influenza (laboratory confirmed),2016,12,ACT,17
Influenza (laboratory confirmed),2017,1,ACT,15
Influenza (laboratory confirmed),2017,2,ACT,18
Influenza (laboratory confirmed),2017,3,ACT,24
Influenza (laboratory confirmed),2017,4,ACT,25
Influenza (laboratory confirmed),2017,5,ACT,29
Influenza (laboratory confirmed),2017,6,ACT,41
Influenza (laboratory confirmed),2017,7,ACT,275
Influenza (laboratory confirmed),2017,8,ACT,1097
Influenza (laboratory confirmed),2017,9,ACT,1286
Influenza (laboratory confirmed),2017,10,ACT,227
Influenza (laboratory confirmed),2017,11,ACT,34
Influenza (laboratory confirmed),2017,12,ACT,21
Influenza (laboratory confirmed),2018,1,ACT,43
Influenza (laboratory confirmed),2018,2,ACT,38
Influenza (laboratory confirmed),2018,3,ACT,33
Influenza (laboratory confirmed),2018,4,ACT,8
Influenza (laboratory confirmed),2018,5,ACT,13
Influenza (laboratory confirmed),2018,6,ACT,24
Influenza (laboratory confirmed),2018,7,ACT,36
Influenza (laboratory confirmed),2018,8,ACT,82
Influenza (laboratory confirmed),2018,9,ACT,97
Influenza (laboratory confirmed),2018,10,ACT,48
Influenza (laboratory confirmed),2018,11,ACT,25
Influenza (laboratory confirmed),2018,12,ACT,26
Influenza (laboratory confirmed),2019,1,ACT,48
Influenza (laboratory confirmed),2019,2,ACT,59
Influenza (laboratory confirmed),2019,3,ACT,83
Influenza (laboratory confirmed),2019,4,ACT,68
Influenza (laboratory confirmed),2019,5,ACT,340
Influenza (laboratory confirmed),2019,6,ACT,722
Influenza (laboratory confirmed),2019,7,ACT,919
Influenza (laboratory confirmed),2019,8,ACT,1144
Influenza (laboratory confirmed),2019,9,ACT,454
Influenza (laboratory confirmed),2019,10,ACT,106
Influenza (laboratory confirmed),2019,11,ACT,30
Influenza (laboratory confirmed),2019,12,ACT,70
Influenza (laboratory confirmed),2020,1,ACT,98
Influenza (laboratory confirmed),2020,2,ACT,54
Influenza (laboratory confirmed),2020,3,ACT,35
Influenza (laboratory confirmed),2020,4,ACT,5
Influenza (laboratory confirmed),2020,5,ACT,1
Influenza (laboratory confirmed),2020,6,ACT,3
Influenza (laboratory confirmed),2020,7,ACT,1
Influenza (laboratory confirmed),2020,8,ACT,3
Influenza (laboratory confirmed),2020,9,ACT,1
Influenza (laboratory confirmed),2020,10,ACT,1
Influenza (laboratory confirmed),2020,12,ACT,3
Influenza (laboratory confirmed),2021,1,ACT,1
Influenza (laboratory confirmed),2021,2,ACT,1
Influenza (laboratory confirmed),2021,5,ACT,1
Influenza (laboratory confirmed),2021,6,ACT,1
Influenza (laboratory confirmed),2021,7,ACT,4
Influenza (laboratory confirmed),2022,1,ACT,1
Influenza (laboratory confirmed),2022,3,ACT,2
Influenza (laboratory confirmed),2022,4,ACT,125
Influenza (laboratory confirmed),2022,5,ACT,717
Influenza (laboratory confirmed),2022,6,ACT,699
Influenza (laboratory confirmed),2022,7,ACT,364
Influenza (laboratory confirmed),2022,8,ACT,31
Influenza (laboratory confirmed),2022,9,ACT,15
Influenza (laboratory confirmed),2022,10,ACT,20
Influenza (laboratory confirmed),2022,11,ACT,39
Influenza (laboratory confirmed),2022,12,ACT,99
Influenza (laboratory confirmed),2023,1,ACT,29
Influenza (laboratory confirmed),2023,2,ACT,42
Influenza (laboratory confirmed),2023,3,ACT,44
Influenza (laboratory confirmed),2023,4,ACT,88
Influenza (laboratory confirmed),2023,5,ACT,291
Influenza (laboratory confirmed),2023,6,ACT,836
Influenza (laboratory confirmed),2023,7,ACT,784
Influenza (laboratory confirmed),2023,8,ACT,676
Influenza (laboratory confirmed),2023,9,ACT,544
Influenza (laboratory confirmed),2023,10,ACT,187
Influenza (laboratory confirmed),2023,11,ACT,236
Influenza (laboratory confirmed),2023,12,ACT,347
Influenza (laboratory confirmed),2024,1,ACT,123
Influenza (laboratory confirmed),2024,2,ACT,140
Influenza (laboratory confirmed),2024,3,ACT,161
Influenza (laboratory confirmed),2024,4,ACT,80
Influenza (laboratory confirmed),2024,5,ACT,304
Influenza (laboratory confirmed),2024,6,ACT,759
Influenza (laboratory confirmed),2024,7,ACT,1487
Influenza (laboratory confirmed),2024,8,ACT,1256
Influenza (laboratory confirmed),2024,9,ACT,269
Influenza (laboratory confirmed),2024,10,ACT,126
Influenza (laboratory confirmed),2024,11,ACT,77
Influenza (laboratory confirmed),2024,12,ACT,48
Influenza (laboratory confirmed),2025,1,ACT,10
Influenza (laboratory confirmed),2008,1,NSW,12
Influenza (laboratory confirmed),2008,2,NSW,27
Influenza (laboratory confirmed),2008,3,NSW,43
Influenza (laboratory confirmed),2008,4,NSW,31
Influenza (laboratory confirmed),2008,5,NSW,91
Influenza (laboratory confirmed),2008,6,NSW,70
Influenza (laboratory confirmed),2008,7,NSW,197
Influenza (laboratory confirmed),2008,8,NSW,465
Influenza (laboratory confirmed),2008,9,NSW,451
Influenza (laboratory confirmed),2008,10,NSW,253
Influenza (laboratory confirmed),2008,11,NSW,126
Influenza (laboratory confirmed),2008,12,NSW,74
Influenza (laboratory confirmed),2009,1,NSW,111
Influenza (laboratory confirmed),2009,2,NSW,50
Influenza (laboratory confirmed),2009,3,NSW,73
Influenza (laboratory confirmed),2009,4,NSW,95
Influenza (laboratory confirmed),2009,5,NSW,424
Influenza (laboratory confirmed),2009,6,NSW,2888
Influenza (laboratory confirmed),2009,7,NSW,7973
Influenza (laboratory confirmed),2009,8,NSW,975
Influenza (laboratory confirmed),2009,9,NSW,134
Influenza (laboratory confirmed),2009,10,NSW,47
Influenza (laboratory confirmed),2009,11,NSW,33
Influenza (laboratory confirmed),2009,12,NSW,47
Influenza (laboratory confirmed),2010,1,NSW,55
Influenza (laboratory confirmed),2010,2,NSW,35
Influenza (laboratory confirmed),2010,3,NSW,34
Influenza (laboratory confirmed),2010,4,NSW,75
Influenza (laboratory confirmed),2010,5,NSW,52
Influenza (laboratory confirmed),2010,6,NSW,40
Influenza (laboratory confirmed),2010,7,NSW,108
Influenza (laboratory confirmed),2010,8,NSW,232
Influenza (laboratory confirmed),2010,9,NSW,384
Influenza (laboratory confirmed),2010,10,NSW,345
Influenza (laboratory confirmed),2010,11,NSW,92
Influenza (laboratory confirmed),2010,12,NSW,116
Influenza (laboratory confirmed),2011,1,NSW,127
Influenza (laboratory confirmed),2011,2,NSW,105
Influenza (laboratory confirmed),2011,3,NSW,134
Influenza (laboratory confirmed),2011,4,NSW,122
Influenza (laboratory confirmed),2011,5,NSW,155
Influenza (laboratory confirmed),2011,6,NSW,469
Influenza (laboratory confirmed),2011,7,NSW,1730
Influenza (laboratory confirmed),2011,8,NSW,1453
Influenza (laboratory confirmed),2011,9,NSW,849
Influenza (laboratory confirmed),2011,10,NSW,322
Influenza (laboratory confirmed),2011,11,NSW,187
Influenza (laboratory confirmed),2011,12,NSW,137
Influenza (laboratory confirmed),2012,1,NSW,55
Influenza (laboratory confirmed),2012,2,NSW,56
Influenza (laboratory confirmed),2012,3,NSW,133
Influenza (laboratory confirmed),2012,4,NSW,82
Influenza (laboratory confirmed),2012,5,NSW,214
Influenza (laboratory confirmed),2012,6,NSW,1984
Influenza (laboratory confirmed),2012,7,NSW,2289
Influenza (laboratory confirmed),2012,8,NSW,1864
Influenza (laboratory confirmed),2012,9,NSW,793
Influenza (laboratory confirmed),2012,10,NSW,269
Influenza (laboratory confirmed),2012,11,NSW,153
Influenza (laboratory confirmed),2012,12,NSW,93
Influenza (laboratory confirmed),2013,1,NSW,97
Influenza (laboratory confirmed),2013,2,NSW,129
Influenza (laboratory confirmed),2013,3,NSW,171
Influenza (laboratory confirmed),2013,4,NSW,121
Influenza (laboratory confirmed),2013,5,NSW,175
Influenza (laboratory confirmed),2013,6,NSW,325
Influenza (laboratory confirmed),2013,7,NSW,743
Influenza (laboratory confirmed),2013,8,NSW,3226
Influenza (laboratory confirmed),2013,9,NSW,2224
Influenza (laboratory confirmed),2013,10,NSW,649
Influenza (laboratory confirmed),2013,11,NSW,344
Influenza (laboratory confirmed),2013,12,NSW,175
Influenza (laboratory confirmed),2014,1,NSW,295
Influenza (laboratory confirmed),2014,2,NSW,218
Influenza (laboratory confirmed),2014,3,NSW,209
Influenza (laboratory confirmed),2014,4,NSW,196
Influenza (laboratory confirmed),2014,5,NSW,276
Influenza (laboratory confirmed),2014,6,NSW,473
Influenza (laboratory confirmed),2014,7,NSW,2721
Influenza (laboratory confirmed),2014,8,NSW,11157
Influenza (laboratory confirmed),2014,9,NSW,4023
Influenza (laboratory confirmed),2014,10,NSW,875
Influenza (laboratory confirmed),2014,11,NSW,213
Influenza (laboratory confirmed),2014,12,NSW,213
Influenza (laboratory confirmed),2015,1,NSW,314
Influenza (laboratory confirmed),2015,2,NSW,350
Influenza (laboratory confirmed),2015,3,NSW,407
Influenza (laboratory confirmed),2015,4,NSW,365
Influenza (laboratory confirmed),2015,5,NSW,474
Influenza (laboratory confirmed),2015,6,NSW,912
Influenza (laboratory confirmed),2015,7,NSW,3246
Influenza (laboratory confirmed),2015,8,NSW,11595
Influenza (laboratory confirmed),2015,9,NSW,10218
Influenza (laboratory confirmed),2015,10,NSW,1934
Influenza (laboratory confirmed),2015,11,NSW,297
Influenza (laboratory confirmed),2015,12,NSW,153
Influenza (laboratory confirmed),2016,1,NSW,366
Influenza (laboratory confirmed),2016,2,NSW,566
Influenza (laboratory confirmed),2016,3,NSW,660
Influenza (laboratory confirmed),2016,4,NSW,885
Influenza (laboratory confirmed),2016,5,NSW,612
Influenza (laboratory confirmed),2016,6,NSW,983
Influenza (laboratory confirmed),2016,7,NSW,4518
Influenza (laboratory confirmed),2016,8,NSW,11164
Influenza (laboratory confirmed),2016,9,NSW,12108
Influenza (laboratory confirmed),2016,10,NSW,2130
Influenza (laboratory confirmed),2016,11,NSW,945
Influenza (laboratory confirmed),2016,12,NSW,650
Influenza (laboratory confirmed),2017,1,NSW,648
Influenza (laboratory confirmed),2017,2,NSW,711
Influenza (laboratory confirmed),2017,3,NSW,961
Influenza (laboratory confirmed),2017,4,NSW,524
Influenza (laboratory confirmed),2017,5,NSW,851
Influenza (laboratory confirmed),2017,6,NSW,3430
Influenza (laboratory confirmed),2017,7,NSW,13937
Influenza (laboratory confirmed),2017,8,NSW,43574
Influenza (laboratory confirmed),2017,9,NSW,34032
Influenza (laboratory confirmed),2017,10,NSW,4015
Influenza (laboratory confirmed),2017,11,NSW,646
Influenza (laboratory confirmed),2017,12,NSW,501
Influenza (laboratory confirmed),2018,1,NSW,1083
Influenza (laboratory confirmed),2018,2,NSW,1176
Influenza (laboratory confirmed),2018,3,NSW,1053
Influenza (laboratory confirmed),2018,4,NSW,437
Influenza (laboratory confirmed),2018,5,NSW,387
Influenza (laboratory confirmed),2018,6,NSW,669
Influenza (laboratory confirmed),2018,7,NSW,1285
Influenza (laboratory confirmed),2018,8,NSW,3911
Influenza (laboratory confirmed),2018,9,NSW,4042
Influenza (laboratory confirmed),2018,10,NSW,1441
Influenza (laboratory confirmed),2018,11,NSW,1012
Influenza (laboratory confirmed),2018,12,NSW,937
Influenza (laboratory confirmed),2019,1,NSW,1731
Influenza (laboratory confirmed),2019,2,NSW,2303
Influenza (laboratory confirmed),2019,3,NSW,3458
Influenza (laboratory confirmed),2019,4,NSW,3040
Influenza (laboratory confirmed),2019,5,NSW,8275
Influenza (laboratory confirmed),2019,6,NSW,22010
Influenza (laboratory confirmed),2019,7,NSW,29413
Influenza (laboratory confirmed),2019,8,NSW,29680
Influenza (laboratory confirmed),2019,9,NSW,11492
Influenza (laboratory confirmed),2019,10,NSW,2436
Influenza (laboratory confirmed),2019,11,NSW,1429
Influenza (laboratory confirmed),2019,12,NSW,1147
Influenza (laboratory confirmed),2020,1,NSW,2770
Influenza (laboratory confirmed),2020,2,NSW,2602
Influenza (laboratory confirmed),2020,3,NSW,1715
Influenza (laboratory confirmed),2020,4,NSW,67
Influenza (laboratory confirmed),2020,5,NSW,70
Influenza (laboratory confirmed),2020,6,NSW,44
Influenza (laboratory confirmed),2020,7,NSW,51
Influenza (laboratory confirmed),2020,8,NSW,22
Influenza (laboratory confirmed),2020,9,NSW,19
Influenza (laboratory confirmed),2020,10,NSW,7
Influenza (laboratory confirmed),2020,11,NSW,13
Influenza (laboratory confirmed),2020,12,NSW,6
Influenza (laboratory confirmed),2021,1,NSW,11
Influenza (laboratory confirmed),2021,2,NSW,3
Influenza (laboratory confirmed),2021,3,NSW,1
Influenza (laboratory confirmed),2021,4,NSW,7
Influenza (laboratory confirmed),2021,5,NSW,15
Influenza (laboratory confirmed),2021,6,NSW,11
Influenza (laboratory confirmed),2021,7,NSW,14
Influenza (laboratory confirmed),2021,8,NSW,6
Influenza (laboratory confirmed),2021,9,NSW,4
Influenza (laboratory confirmed),2021,10,NSW,9
Influenza (laboratory confirmed),2021,11,NSW,16
Influenza (laboratory confirmed),2021,12,NSW,41
Influenza (laboratory confirmed),2022,1,NSW,14
Influenza (laboratory confirmed),2022,2,NSW,20
Influenza (laboratory confirmed),2022,3,NSW,239
Influenza (laboratory confirmed),2022,4,NSW,2803
Influenza (laboratory confirmed),2022,5,NSW,22191
Influenza (laboratory confirmed),2022,6,NSW,64847
Influenza (laboratory confirmed),2022,7,NSW,20442
Influenza (laboratory confirmed),2022,8,NSW,2241
Influenza (laboratory confirmed),2022,9,NSW,702
Influenza (laboratory confirmed),2022,10,NSW,486
Influenza (laboratory confirmed),2022,11,NSW,676
Influenza (laboratory confirmed),2022,12,NSW,1679
Influenza (laboratory confirmed),2023,1,NSW,1470
Influenza (laboratory confirmed),2023,2,NSW,1299
Influenza (laboratory confirmed),2023,3,NSW,3332
Influenza (laboratory confirmed),2023,4,NSW,4206
Influenza (laboratory confirmed),2023,5,NSW,7160
Influenza (laboratory confirmed),2023,6,NSW,25966
Influenza (laboratory confirmed),2023,7,NSW,23289
Influenza (laboratory confirmed),2023,8,NSW,12675
Influenza (laboratory confirmed),2023,9,NSW,8977
Influenza (laboratory confirmed),2023,10,NSW,4834
Influenza (laboratory confirmed),2023,11,NSW,5250
Influenza (laboratory confirmed),2023,12,NSW,6083
Influenza (laboratory confirmed),2024,1,NSW,3646
Influenza (laboratory confirmed),2024,2,NSW,3160
Influenza (laboratory confirmed),2024,3,NSW,5518
Influenza (laboratory confirmed),2024,4,NSW,5104
Influenza (laboratory confirmed),2024,5,NSW,16103
Influenza (laboratory confirmed),2024,6,NSW,44676
Influenza (laboratory confirmed),2024,7,NSW,50639
Influenza (laboratory confirmed),2024,8,NSW,22186
Influenza (laboratory confirmed),2024,9,NSW,4287
Influenza (laboratory confirmed),2024,10,NSW,1965
Influenza (laboratory confirmed),2024,11,NSW,2211
Influenza (laboratory confirmed),2024,12,NSW,1830
Influenza (laboratory confirmed),2025,1,NSW,348
Influenza (laboratory confirmed),2008,1,NT,5
Influenza (laboratory confirmed),2008,2,NT,14
Influenza (laboratory confirmed),2008,3,NT,10
Influenza (laboratory confirmed),2008,4,NT,5
Influenza (laboratory confirmed),2008,5,NT,2
Influenza (laboratory confirmed),2008,6,NT,1
Influenza (laboratory confirmed),2008,7,NT,4
Influenza (laboratory confirmed),2008,8,NT,36
Influenza (laboratory confirmed),2008,9,NT,54
Influenza (laboratory confirmed),2008,10,NT,40
Influenza (laboratory confirmed),2008,11,NT,23
Influenza (laboratory confirmed),2008,12,NT,6
Influenza (laboratory confirmed),2009,1,NT,10
Influenza (laboratory confirmed),2009,2,NT,2
Influenza (laboratory confirmed),2009,3,NT,4
Influenza (laboratory confirmed),2009,4,NT,1
Influenza (laboratory confirmed),2009,5,NT,37
Influenza (laboratory confirmed),2009,6,NT,359
Influenza (laboratory confirmed),2009,7,NT,1257
Influenza (laboratory confirmed),2009,8,NT,227
Influenza (laboratory confirmed),2009,9,NT,50
Influenza (laboratory confirmed),2009,10,NT,18
Influenza (laboratory confirmed),2009,11,NT,7
Influenza (laboratory confirmed),2009,12,NT,6
Influenza (laboratory confirmed),2010,1,NT,4
Influenza (laboratory confirmed),2010,3,NT,2
Influenza (laboratory confirmed),2010,4,NT,2
Influenza (laboratory confirmed),2010,5,NT,1
Influenza (laboratory confirmed),2010,6,NT,20
Influenza (laboratory confirmed),2010,7,NT,27
Influenza (laboratory confirmed),2010,8,NT,20
Influenza (laboratory confirmed),2010,9,NT,144
Influenza (laboratory confirmed),2010,10,NT,114
Influenza (laboratory confirmed),2010,11,NT,58
Influenza (laboratory confirmed),2010,12,NT,88
Influenza (laboratory confirmed),2011,1,NT,64
Influenza (laboratory confirmed),2011,2,NT,108
Influenza (laboratory confirmed),2011,3,NT,130
Influenza (laboratory confirmed),2011,4,NT,31
Influenza (laboratory confirmed),2011,5,NT,5
Influenza (laboratory confirmed),2011,6,NT,4
Influenza (laboratory confirmed),2011,7,NT,13
Influenza (laboratory confirmed),2011,8,NT,39
Influenza (laboratory confirmed),2011,9,NT,144
Influenza (laboratory confirmed),2011,10,NT,36
Influenza (laboratory confirmed),2011,11,NT,11
Influenza (laboratory confirmed),2011,12,NT,12
Influenza (laboratory confirmed),2012,1,NT,6
Influenza (laboratory confirmed),2012,2,NT,2
Influenza (laboratory confirmed),2012,3,NT,13
Influenza (laboratory confirmed),2012,4,NT,21
Influenza (laboratory confirmed),2012,5,NT,35
Influenza (laboratory confirmed),2012,6,NT,88
Influenza (laboratory confirmed),2012,7,NT,90
Influenza (laboratory confirmed),2012,8,NT,81
Influenza (laboratory confirmed),2012,9,NT,36
Influenza (laboratory confirmed),2012,10,NT,29
Influenza (laboratory confirmed),2012,11,NT,37
Influenza (laboratory confirmed),2012,12,NT,5
Influenza (laboratory confirmed),2013,1,NT,7
Influenza (laboratory confirmed),2013,2,NT,35
Influenza (laboratory confirmed),2013,3,NT,89
Influenza (laboratory confirmed),2013,4,NT,20
Influenza (laboratory confirmed),2013,5,NT,11
Influenza (laboratory confirmed),2013,6,NT,8
Influenza (laboratory confirmed),2013,7,NT,8
Influenza (laboratory confirmed),2013,8,NT,31
Influenza (laboratory confirmed),2013,9,NT,71
Influenza (laboratory confirmed),2013,10,NT,54
Influenza (laboratory confirmed),2013,11,NT,58
Influenza (laboratory confirmed),2013,12,NT,67
Influenza (laboratory confirmed),2014,1,NT,105
Influenza (laboratory confirmed),2014,2,NT,126
Influenza (laboratory confirmed),2014,3,NT,31
Influenza (laboratory confirmed),2014,4,NT,29
Influenza (laboratory confirmed),2014,5,NT,11
Influenza (laboratory confirmed),2014,6,NT,12
Influenza (laboratory confirmed),2014,7,NT,28
Influenza (laboratory confirmed),2014,8,NT,176
Influenza (laboratory confirmed),2014,9,NT,192
Influenza (laboratory confirmed),2014,10,NT,67
Influenza (laboratory confirmed),2014,11,NT,18
Influenza (laboratory confirmed),2014,12,NT,34
Influenza (laboratory confirmed),2015,1,NT,19
Influenza (laboratory confirmed),2015,2,NT,8
Influenza (laboratory confirmed),2015,3,NT,11
Influenza (laboratory confirmed),2015,4,NT,17
Influenza (laboratory confirmed),2015,5,NT,17
Influenza (laboratory confirmed),2015,6,NT,14
Influenza (laboratory confirmed),2015,7,NT,40
Influenza (laboratory confirmed),2015,8,NT,113
Influenza (laboratory confirmed),2015,9,NT,174
Influenza (laboratory confirmed),2015,10,NT,129
Influenza (laboratory confirmed),2015,11,NT,89
Influenza (laboratory confirmed),2015,12,NT,41
Influenza (laboratory confirmed),2016,1,NT,37
Influenza (laboratory confirmed),2016,2,NT,26
Influenza (laboratory confirmed),2016,3,NT,12
Influenza (laboratory confirmed),2016,4,NT,28
Influenza (laboratory confirmed),2016,5,NT,17
Influenza (laboratory confirmed),2016,6,NT,11
Influenza (laboratory confirmed),2016,7,NT,31
Influenza (laboratory confirmed),2016,8,NT,81
Influenza (laboratory confirmed),2016,9,NT,247
Influenza (laboratory confirmed),2016,10,NT,114
Influenza (laboratory confirmed),2016,11,NT,35
Influenza (laboratory confirmed),2016,12,NT,66
Influenza (laboratory confirmed),2017,1,NT,68
Influenza (laboratory confirmed),2017,2,NT,241
Influenza (laboratory confirmed),2017,3,NT,165
Influenza (laboratory confirmed),2017,4,NT,33
Influenza (laboratory confirmed),2017,5,NT,22
Influenza (laboratory confirmed),2017,6,NT,27
Influenza (laboratory confirmed),2017,7,NT,58
Influenza (laboratory confirmed),2017,8,NT,248
Influenza (laboratory confirmed),2017,9,NT,376
Influenza (laboratory confirmed),2017,10,NT,158
Influenza (laboratory confirmed),2017,11,NT,48
Influenza (laboratory confirmed),2017,12,NT,31
Influenza (laboratory confirmed),2018,1,NT,35
Influenza (laboratory confirmed),2018,2,NT,19
Influenza (laboratory confirmed),2018,3,NT,37
Influenza (laboratory confirmed),2018,4,NT,9
Influenza (laboratory confirmed),2018,5,NT,15
Influenza (laboratory confirmed),2018,6,NT,9
Influenza (laboratory confirmed),2018,7,NT,4
Influenza (laboratory confirmed),2018,8,NT,15
Influenza (laboratory confirmed),2018,9,NT,34
Influenza (laboratory confirmed),2018,10,NT,32
Influenza (laboratory confirmed),2018,11,NT,312
Influenza (laboratory confirmed),2018,12,NT,644
Influenza (laboratory confirmed),2019,1,NT,143
Influenza (laboratory confirmed),2019,2,NT,70
Influenza (laboratory confirmed),2019,3,NT,110
Influenza (laboratory confirmed),2019,4,NT,257
Influenza (laboratory confirmed),2019,5,NT,272
Influenza (laboratory confirmed),2019,6,NT,145
Influenza (laboratory confirmed),2019,7,NT,137
Influenza (laboratory confirmed),2019,8,NT,162
Influenza (laboratory confirmed),2019,9,NT,131
Influenza (laboratory confirmed),2019,10,NT,78
Influenza (laboratory confirmed),2019,11,NT,73
Influenza (laboratory confirmed),2019,12,NT,177
Influenza (laboratory confirmed),2020,1,NT,114
Influenza (laboratory confirmed),2020,2,NT,66
Influenza (laboratory confirmed),2020,3,NT,92
Influenza (laboratory confirmed),2020,4,NT,17
Influenza (laboratory confirmed),2020,5,NT,4
Influenza (laboratory confirmed),2020,8,NT,1
Influenza (laboratory confirmed),2020,10,NT,2
Influenza (laboratory confirmed),2021,2,NT,1
Influenza (laboratory confirmed),2021,3,NT,6
Influenza (laboratory confirmed),2021,4,NT,5
Influenza (laboratory confirmed),2021,5,NT,6
Influenza (laboratory confirmed),2021,6,NT,1
Influenza (laboratory confirmed),2021,8,NT,11
Influenza (laboratory confirmed),2021,9,NT,13
Influenza (laboratory confirmed),2021,10,NT,15
Influenza (laboratory confirmed),2021,11,NT,10
Influenza (laboratory confirmed),2021,12,NT,13
Influenza (laboratory confirmed),2022,2,NT,1
Influenza (laboratory confirmed),2022,4,NT,100
