disease,transmission_mode,border_sensitive,vaccine_preventable,count_tier,baseline_mean_rate,baseline_mean_count,baseline_n,covid_mean_rate,covid_mean_count,covid_n,covid_oe_rate,covid_pct_change,transition_rate,transition_count,transition_oe_rate,transition_pct,post_mean_rate,post_mean_count,post_n,post_oe_rate,post_pct_change,wilcox_p_covid,wilcox_p_post,max_reduction_year,max_reduction_oe,max_excess_year,max_excess_oe,cumulative_deficit_total,cumulative_excess_total,cumulative_deficit_covid,cumulative_excess_covid,cumulative_deficit_post,cumulative_excess_post,net_cumulative,trajectory,covid_significant,post_significant,covid_direction
Haemolytic uraemic syndrome (HUS),enteric,FALSE,FALSE,low,0.068,16,5,0.04,10.5,2,0.5882352941176471,-41.1764705882353,0.05,14,0.7352941176470588,-26.47058823529412,0.05666666666666667,15,3,0.8333333333333334,-16.666666666666664,0.11465264168449486,0.3623796473157067,2021,0.4411764705882352,2023,1.0294117647058825,19,3,11,0,8,3,-16,partial_recovery,FALSE,FALSE,decreased
Haemophilus influenzae type b,respiratory,FALSE,TRUE,low,0.07400000000000001,18,5,0.07,18.5,2,0.9459459459459459,-5.405405405405409,0.04,11,0.5405405405405405,-45.94594594594595,0.03333333333333333,8.333333333333334,3,0.4504504504504504,-54.95495495495496,0.7518296340458492,0.026179197063647214,2024,0.27027027027027023,2021,0.945945945945946,36,1,0,1,36,0,-35,sustained_suppression,FALSE,TRUE,unchanged
Hepatitis A,enteric,TRUE,TRUE,high,1.038,243.6,5,0.21500000000000002,55,2,0.20712909441233143,-79.28709055876685,0.55,143,0.5298651252408478,-47.01348747591522,0.8833333333333334,235.33333333333334,3,0.8509955041746949,-14.900449582530504,0.08136112923407547,1,2021,0.08670520231213873,2025,0.8863198458574181,504.4,1.8000000000000114,377.2,0,127.19999999999999,1.8000000000000114,-502.59999999999997,partial_recovery,FALSE,FALSE,decreased
Hepatitis B (newly acquired),blood_borne,FALSE,TRUE,moderate,0.626,153.8,5,0.41000000000000003,104.5,2,0.6549520766773164,-34.504792332268366,0.24,63,0.38338658146964855,-61.66134185303515,0.2866666666666666,76,3,0.45793397231096905,-54.2066027689031,0.08136112923407547,0.03688842570704989,2025,0.33546325878594246,2020,0.7987220447284346,422.80000000000007,0,98.60000000000002,0,324.20000000000005,0,-422.80000000000007,sustained_suppression,FALSE,TRUE,decreased
Hepatitis B (unspecified),blood_borne,FALSE,FALSE,high,23.8,5862.4,5,18.5,4731,2,0.7773109243697479,-22.268907563025213,19,4831,0.7983193277310924,-20.16806722689076,20.333333333333332,5387,3,0.8543417366946778,-14.56582633053222,0.0786428966689894,0.03466118588750731,2021,0.7563025210084033,2025,0.8823529411764706,4720.399999999998,0,2262.7999999999993,0,2457.5999999999985,0,-4720.399999999998,partial_recovery,FALSE,TRUE,decreased
Hepatitis C (newly acquired),blood_borne,FALSE,FALSE,high,2.8,715.8,5,3,706,2,1.0714285714285714,7.1428571428571495,2,566,0.7142857142857143,-28.571428571428566,3.3333333333333335,929.3333333333334,3,1.1904761904761907,19.04761904761906,0.7518296340458492,0.24156658696897287,2022,0.7142857142857143,2023,1.4285714285714286,195.5999999999999,666.8000000000002,45.799999999999955,26.200000000000045,149.79999999999995,640.6000000000001,471.2000000000003,returned,FALSE,FALSE,unchanged
Hepatitis C (unspecified),blood_borne,FALSE,FALSE,high,40,9808.8,5,27.5,7079.5,2,0.6875,-31.25,24,6169,0.6,-40,24.333333333333332,6489,3,0.6083333333333333,-39.16666666666667,0.0786428966689894,0.03466118588750731,2025,0.575,2020,0.725,19057.799999999996,0,5458.5999999999985,0,13599.199999999997,0,-19057.799999999996,partial_recovery,FALSE,TRUE,decreased
Hepatitis D,blood_borne,FALSE,FALSE,moderate,0.27,66.6,5,0.31,80,2,1.1481481481481481,14.814814814814806,0.27,71,1,0,0.4266666666666667,113.66666666666667,3,1.5802469135802468,58.0246913580247,0.2410324443839394,0.03688842570704989,2022,1,2025,1.8888888888888888,0,172.40000000000003,0,26.80000000000001,0,145.60000000000002,172.40000000000003,overshoot,FALSE,TRUE,increased
Hepatitis E,enteric,TRUE,FALSE,low,0.178,43.8,5,0.06999999999999999,18.5,2,0.3932584269662921,-60.67415730337079,0.05,13,0.2808988764044944,-71.91011235955057,0.1,26.666666666666668,3,0.5617977528089888,-43.82022471910112,0.0786428966689894,0.035770082232490806,2021,0.11235955056179776,2023,0.7865168539325844,132.79999999999998,0,50.599999999999994,0,82.19999999999999,0,-132.79999999999998,partial_recovery,FALSE,TRUE,decreased
Influenza (laboratory confirmed),respiratory,FALSE,TRUE,high,658.8,163004.8,5,43,11054.5,2,0.0652701882210079,-93.4729811778992,898,233452,1.3630843958712813,36.30843958712812,1449,385898,3,2.1994535519125686,119.94535519125684,0.08136112923407547,0.07363827012030268,2021,0.00455373406193078,2025,2.86581663630844,303900.6,739126.8,303900.6,0,0,739126.8,435226.20000000007,overshoot,FALSE,FALSE,decreased
Legionellosis,respiratory,FALSE,FALSE,high,2,400.6,5,2,556,2,1,0,3,687,1.5,50,3,778.6666666666666,3,1.5,50,NA,0.013535198613802849,2021,1,2025,1.5,0,1731.3999999999999,0,310.79999999999995,0,1420.6,1731.3999999999999,overshoot,FALSE,TRUE,unchanged
Leprosy,zoonotic,TRUE,FALSE,low,0.05,12,5,0.035,9.5,2,0.7000000000000001,-30,0.03,9,0.6,-40.00000000000001,0.05,13.333333333333334,3,1,0,0.6932818175044811,0.8778334548288308,2020,0.4,2025,1.6,15,11,6,1,9,10,-4,returned,FALSE,FALSE,decreased
Leptospirosis,zoonotic,FALSE,FALSE,moderate,0.46399999999999997,114,5,0.66,168.5,2,1.4224137931034484,42.24137931034485,0.8,208,1.7241379310344829,72.4137931034483,0.5066666666666667,135.33333333333334,3,1.0919540229885059,9.195402298850592,0.5612758361345778,0.765594483995764,2020,0.7327586206896552,2021,2.1120689655172415,28,295,28,137,0,158,267,returned,FALSE,FALSE,increased
Listeriosis,enteric,FALSE,FALSE,moderate,0.286,70.2,5,0.17,43.5,2,0.5944055944055945,-40.55944055944055,0.34,89,1.188811188811189,18.8811188811189,0.26666666666666666,70.33333333333333,3,0.9324009324009325,-6.7599067599067535,0.0759269629825577,0.7642282177641773,2021,0.5944055944055945,2022,1.188811188811189,70.80000000000001,36.599999999999994,53.400000000000006,0,17.400000000000006,36.599999999999994,-34.20000000000002,returned,FALSE,FALSE,decreased
Malaria,vector_borne,TRUE,FALSE,high,1.396,338.2,5,0.42,108,2,0.3008595988538682,-69.91404011461319,0.79,206,0.5659025787965617,-43.40974212034383,1.6666666666666667,427.3333333333333,3,1.1938872970391596,19.388729703915963,0.0759269629825577,0.5136291133931241,2021,0.16475644699140404,2025,1.4326647564469914,592.5999999999999,267.40000000000003,460.4,0,132.2,267.40000000000003,-325.1999999999999,returned,FALSE,FALSE,decreased
Meningococcal disease (invasive),respiratory,FALSE,TRUE,high,1.114,260,5,0.31999999999999995,82,2,0.28725314183123873,-71.27468581687613,0.48,125,0.4308797127468581,-56.91202872531419,0.4966666666666667,132.33333333333334,3,0.44584081388390184,-55.41591861160982,0.0786428966689894,0.035770082232490806,2021,0.2603231597845601,2023,0.4847396768402154,874,0,356,0,518,0,-874,sustained_suppression,FALSE,TRUE,decreased
Mumps,respiratory,FALSE,TRUE,high,2.538,613.6,5,0.33999999999999997,87,2,0.13396375098502758,-86.60362490149724,0.18,47,0.07092198581560284,-92.9078014184397,0.6133333333333333,163.33333333333334,3,0.24166009981612818,-75.83399001838717,0.05448341048508714,0.056663942878564036,2021,0.03152088258471237,2024,0.27580772261623326,2970.6000000000004,0,1053.2,0,1917.4,0,-2970.6000000000004,sustained_suppression,FALSE,FALSE,decreased
Ornithosis,respiratory,FALSE,FALSE,low,0.078,18.6,5,0.2,52,2,2.5641025641025643,156.41025641025644,0.17,44,2.1794871794871797,117.94871794871797,0.12666666666666668,33.666666666666664,3,1.6239316239316242,62.393162393162406,0.0786428966689894,0.12663045794761718,2024,1.1538461538461535,2020,3.2051282051282053,0,137.39999999999998,0,66.8,0,70.6,137.39999999999998,overshoot,FALSE,FALSE,increased
Paratyphoid,enteric,TRUE,FALSE,moderate,0.34,84,5,0.08499999999999999,21.5,2,0.24999999999999997,-75,0.2,52,0.5882352941176471,-41.1764705882353,0.41,109,3,1.2058823529411764,20.58823529411763,0.0786428966689894,0.23024335057740716,2021,0.0588235294117647,2023,1.3235294117647058,157,75,125,0,32,75,-82,overshoot,FALSE,FALSE,decreased
Pertussis,respiratory,FALSE,TRUE,high,65,15906,5,7.5,2004,2,0.11538461538461539,-88.46153846153845,2,484,0.03076923076923077,-96.92307692307692,106.33333333333333,28323.666666666668,3,1.6358974358974359,63.589743589743584,0.0786428966689894,0.6508119054888,2022,0.03076923076923077,2024,3.3076923076923075,56678,50705,27804,0,28874,50705,-5973,overshoot,FALSE,FALSE,decreased
Pneumococcal disease (invasive),respiratory,FALSE,TRUE,high,7.4,1869,5,4.5,1215.5,2,0.6081081081081081,-39.18918918918919,7,1859,0.9459459459459459,-5.40540540540541,9.333333333333334,2428.3333333333335,3,1.2612612612612613,26.126126126126124,0.07050801593441364,0.03139516531319055,2020,0.5405405405405405,2025,1.351351351351351,1317,1678,1307,0,10,1678,361,overshoot,FALSE,TRUE,decreased
Q fever,zoonotic,FALSE,FALSE,high,2.2,545.4,5,2,501,2,0.9090909090909091,-9.090909090909099,2,480,0.9090909090909091,-9.090909090909099,2.6666666666666665,784,3,1.212121212121212,21.212121212121197,0.7518296340458492,0.2899184539425698,2023,0.9090909090909092,2025,1.3636363636363635,155.79999999999995,717.4000000000001,90.39999999999998,1.6000000000000227,65.39999999999998,715.8000000000001,561.6000000000001,overshoot,FALSE,FALSE,unchanged
Ross River virus infection,vector_borne,FALSE,FALSE,high,21.4,5253.8,5,18.5,4732.5,2,0.8644859813084113,-13.551401869158871,11,2906,0.5140186915887851,-48.59813084112149,8.666666666666666,2346.3333333333335,3,0.40498442367601245,-59.50155763239875,0.8407304470798855,0.1337011258089638,2023,0.28037383177570097,2020,1.1682242990654206,13228,1115.1999999999998,2157.8,1115.1999999999998,11070.2,0,-12112.8,sustained_suppression,FALSE,FALSE,decreased
Rotavirus,enteric,FALSE,TRUE,high,19,4692.8,5,8.5,2126,2,0.4473684210526316,-55.26315789473685,25,6466,1.3157894736842106,31.57894736842105,35.333333333333336,9353.333333333334,3,1.8596491228070178,85.96491228070177,0.08136112923407547,0.03688842570704989,2020,0.3684210526315789,2024,2,5133.6,15754.8,5133.6,0,0,15754.8,10621.199999999999,overshoot,FALSE,TRUE,decreased
Rubella,respiratory,FALSE,TRUE,low,0.060000000000000005,14.6,5,0.015,3.5,2,0.24999999999999997,-75,0.01,3,0.16666666666666666,-83.33333333333333,0.013333333333333334,3,3,0.2222222222222222,-77.77777777777779,0.0759269629825577,0.03356213096496025,2025,0.16666666666666666,2023,0.3333333333333333,68.6,0,22.2,0,46.4,0,-68.6,sustained_suppression,FALSE,TRUE,decreased
STEC,enteric,FALSE,FALSE,high,1.716,440,5,2,599.5,2,1.1655011655011656,16.550116550116552,3,844,1.7482517482517483,74.82517482517483,3.6666666666666665,970.6666666666666,3,2.1367521367521367,113.67521367521367,0.8308093258953502,0.048440125384412336,2021,1.1655011655011656,2025,2.331002331002331,0,2315,0,319,0,1996,2315,overshoot,FALSE,TRUE,increased
Salmonellosis,enteric,FALSE,FALSE,high,65.4,16016.6,5,44.5,11338,2,0.6804281345565749,-31.957186544342512,40,10301,0.6116207951070336,-38.83792048929664,44.333333333333336,11787.333333333334,3,0.6778797145769623,-32.21202854230377,0.08136112923407547,0.03688842570704989,2022,0.6116207951070336,2020,0.7186544342507645,27760.600000000002,0,9357.2,0,18403.4,0,-27760.600000000002,partial_recovery,FALSE,TRUE,decreased
Shigellosis,enteric,TRUE,FALSE,high,7.8,1972.4,5,4,1033,2,0.5128205128205129,-48.717948717948715,5,1406,0.6410256410256411,-35.8974358974359,11,2919.3333333333335,3,1.4102564102564104,41.02564102564103,0.2410324443839394,0.22169999376487645,2021,0.25641025641025644,2025,1.4102564102564104,2445.2000000000003,2840.7999999999997,1878.8000000000002,0,566.4000000000001,2840.7999999999997,395.59999999999945,overshoot,FALSE,FALSE,decreased
Syphilis < 2 years,STI,FALSE,FALSE,high,17.4,4310,5,21.5,5563.5,2,1.2356321839080462,23.563218390804607,24,6184,1.3793103448275863,37.93103448275863,23.333333333333332,6188.666666666667,3,1.3409961685823755,34.09961685823755,0.33292160806556587,0.09901826280516923,2020,1.206896551724138,2023,1.4367816091954024,0,10017,0,2507,0,7510,10017,overshoot,FALSE,FALSE,increased
Syphilis > 2 years or unspecified duration,STI,FALSE,FALSE,high,8.6,2190.6,5,9,2214.5,2,1.0465116279069768,4.651162790697678,10,2614,1.1627906976744187,16.279069767441865,10.666666666666666,2881.6666666666665,3,1.2403100775193798,24.031007751937985,0.5303347996135119,0.04431696326668537,2021,1.0465116279069768,2025,1.2790697674418603,0,2544.4000000000005,0,47.80000000000018,0,2496.6000000000004,2544.4000000000005,overshoot,FALSE,TRUE,unchanged
Syphilis congenital,STI,FALSE,FALSE,ultra_low,0.022,5.2,5,0.065,16,2,2.954545454545455,195.45454545454547,0.06,15,2.7272727272727275,172.72727272727272,0.05666666666666667,14.666666666666666,3,2.575757575757576,157.57575757575762,0.0759269629825577,0.03466118588750731,2024,1.8181818181818183,2023,3.6363636363636367,0,59.800000000000004,0,21.6,0,38.2,59.800000000000004,insufficient_data,FALSE,TRUE,increased
Tetanus,zoonotic,FALSE,FALSE,ultra_low,0.016,3.8,5,0.02,4.5,2,1.25,25,0,1,0,-100,0.013333333333333334,3.3333333333333335,3,0.8333333333333334,-16.666666666666664,0.8289685021251761,1,2025,0,2020,1.875,7.3999999999999995,4.6000000000000005,1.7999999999999998,3.2,5.6,1.4000000000000004,-2.799999999999999,insufficient_data,FALSE,FALSE,increased
Tuberculosis,respiratory,FALSE,FALSE,high,5.8,1400.4,5,6,1544,2,1.0344827586206897,3.448275862068969,5,1314,0.8620689655172414,-13.79310344827586,5.666666666666667,1557.3333333333333,3,0.9770114942528736,-2.2988505747126355,0.7518296340458492,0.8436689495519663,2023,0.8620689655172414,2025,1.0344827586206895,86.40000000000009,757.9999999999995,0,287.1999999999998,86.40000000000009,470.7999999999997,671.5999999999995,returned,FALSE,FALSE,unchanged
Typhoid Fever,enteric,TRUE,FALSE,moderate,0.602,148.2,5,0.2,51,2,0.33222591362126247,-66.77740863787375,0.69,179,1.1461794019933553,14.617940199335544,0.92,253,3,1.5282392026578073,52.82392026578074,0.08136112923407547,0.03688842570704989,2021,0.09966777408637874,2023,1.6611295681063123,194.39999999999998,345.20000000000005,194.39999999999998,0,0,345.20000000000005,150.80000000000007,overshoot,FALSE,TRUE,decreased
Varicella zoster (chickenpox),respiratory,FALSE,TRUE,high,21.6,3614.8,5,15,2618.5,2,0.6944444444444444,-30.555555555555557,10,1840,0.4629629629629629,-53.70370370370371,13.666666666666666,2521.6666666666665,3,0.632716049382716,-36.728395061728406,0.17524424540000608,0.035770082232490806,2022,0.4629629629629629,2020,0.787037037037037,7046.800000000001,0,1992.6000000000004,0,5054.200000000001,0,-7046.800000000001,partial_recovery,FALSE,TRUE,decreased
Varicella zoster (shingles),respiratory,FALSE,FALSE,high,63.4,10695.6,5,82.5,14537.5,2,1.301261829652997,30.126182965299687,59,10594,0.9305993690851735,-6.940063091482648,61.333333333333336,11220,3,0.9674027339642483,-3.2597266035751784,0.33292160806556587,1,2025,0.8517350157728707,2020,1.4668769716088328,1284.800000000001,10440.199999999999,0,7683.799999999999,1284.800000000001,2756.3999999999996,9155.399999999998,returned,FALSE,FALSE,increased
Varicella zoster (unspecified),respiratory,FALSE,FALSE,high,83.2,13888.2,5,87,15274.5,2,1.0456730769230769,4.567307692307689,102,18139,1.2259615384615383,22.59615384615384,116.66666666666667,21354.666666666668,3,1.4022435897435896,40.22435897435898,1,0.035770082232490806,2020,0.8413461538461539,2025,1.5264423076923077,1556.2000000000007,30978.999999999996,1556.2000000000007,4328.799999999999,0,26650.199999999997,29422.799999999996,overshoot,FALSE,TRUE,unchanged
