disease,transmission_mode,border_sensitive,vaccine_preventable,count_tier,covid_oe_rate,covid_pct_change,post_oe_rate,post_pct_change,trajectory,cumulative_deficit_total,cumulative_excess_total,net_cumulative,nadir_year,nadir_oe,recovery_year,years_to_recovery,recovered_by_2024,still_suppressed,trajectory_refined,had_rebound_peak,immunity_debt_signal
Haemolytic uraemic syndrome (HUS),enteric,FALSE,FALSE,low,0.5882352941176471,-41.1764705882353,0.8333333333333334,-16.666666666666664,partial_recovery,19,3,-16,2021,0.4411764705882352,2023,2,TRUE,FALSE,partial_nearing,FALSE,FALSE
Haemophilus influenzae type b,respiratory,FALSE,TRUE,low,0.945945945945946,-5.405405405405409,0.4504504504504504,-54.95495495495496,sustained_suppression,36,1,-35,NA,NA,NA,NA,NA,NA,sustained_suppression,FALSE,FALSE
Hepatitis A,enteric,TRUE,TRUE,high,0.20712909441233143,-79.28709055876685,0.8509955041746949,-14.900449582530504,partial_recovery,504.4,1.8000000000000114,-502.6,2021,0.08670520231213873,NA,NA,FALSE,TRUE,partial_nearing,FALSE,FALSE
Hepatitis B (newly acquired),blood_borne,FALSE,TRUE,moderate,0.6549520766773164,-34.504792332268366,0.45793397231096905,-54.2066027689031,sustained_suppression,422.80000000000007,0,-422.80000000000007,2021,0.5111821086261981,NA,NA,FALSE,TRUE,sustained_suppression,FALSE,FALSE
Hepatitis B (unspecified),blood_borne,FALSE,FALSE,high,0.7773109243697479,-22.268907563025213,0.8543417366946778,-14.56582633053222,partial_recovery,4720.399999999998,0,-4720.399999999998,2021,0.7563025210084033,NA,NA,FALSE,TRUE,partial_nearing,FALSE,FALSE
Hepatitis C (newly acquired),blood_borne,FALSE,FALSE,high,1.0714285714285714,7.1428571428571495,1.190476190476191,19.04761904761906,returned,195.5999999999999,666.8000000000002,471.2000000000003,NA,NA,NA,NA,NA,NA,returned,FALSE,FALSE
Hepatitis C (unspecified),blood_borne,FALSE,FALSE,high,0.6875,-31.25,0.6083333333333333,-39.16666666666667,partial_recovery,19057.799999999996,0,-19057.799999999996,2021,0.65,NA,NA,FALSE,TRUE,partial_slow,FALSE,FALSE
Hepatitis D,blood_borne,FALSE,FALSE,moderate,1.148148148148148,14.814814814814806,1.5802469135802468,58.0246913580247,overshoot,0,172.40000000000003,172.40000000000003,NA,NA,NA,NA,NA,NA,moderate_overshoot,TRUE,FALSE
Hepatitis E,enteric,TRUE,FALSE,low,0.3932584269662921,-60.67415730337079,0.5617977528089888,-43.82022471910112,partial_recovery,132.79999999999998,0,-132.79999999999998,2021,0.11235955056179776,NA,NA,FALSE,TRUE,partial_slow,FALSE,FALSE
Influenza (laboratory confirmed),respiratory,FALSE,TRUE,high,0.0652701882210079,-93.4729811778992,2.1994535519125686,119.94535519125684,overshoot,303900.6,739126.8,435226.20000000007,2021,0.00455373406193078,2022,1,TRUE,FALSE,major_overshoot,TRUE,TRUE
Legionellosis,respiratory,FALSE,FALSE,high,1,0,1.5,50,overshoot,0,1731.4,1731.4,NA,NA,NA,NA,NA,NA,moderate_overshoot,FALSE,FALSE
Leprosy,zoonotic,TRUE,FALSE,low,0.7000000000000001,-30,1,0,returned,15,11,-4,2020,0.4,2021,1,TRUE,FALSE,returned,TRUE,FALSE
Leptospirosis,zoonotic,FALSE,FALSE,moderate,1.4224137931034484,42.24137931034485,1.091954022988506,9.195402298850592,returned,28,295,267,2020,0.7327586206896552,2021,1,TRUE,FALSE,returned,TRUE,FALSE
Listeriosis,enteric,FALSE,FALSE,moderate,0.5944055944055945,-40.55944055944055,0.9324009324009324,-6.7599067599067535,returned,70.80000000000001,36.599999999999994,-34.20000000000002,2020,0.5944055944055945,2022,2,TRUE,FALSE,returned,FALSE,FALSE
Malaria,vector_borne,TRUE,FALSE,high,0.3008595988538682,-69.91404011461319,1.1938872970391596,19.388729703915963,returned,592.5999999999999,267.40000000000003,-325.1999999999999,2021,0.16475644699140404,2024,3,TRUE,FALSE,returned,FALSE,FALSE
Meningococcal disease (invasive),respiratory,FALSE,TRUE,high,0.28725314183123873,-71.27468581687613,0.44584081388390184,-55.41591861160982,sustained_suppression,874,0,-874,2021,0.2603231597845601,NA,NA,FALSE,TRUE,sustained_suppression,FALSE,FALSE
Mumps,respiratory,FALSE,TRUE,high,0.13396375098502758,-86.60362490149724,0.24166009981612815,-75.83399001838717,sustained_suppression,2970.6000000000004,0,-2970.6000000000004,2021,0.03152088258471237,NA,NA,FALSE,TRUE,sustained_suppression,FALSE,FALSE
Ornithosis,respiratory,FALSE,FALSE,low,2.5641025641025643,156.41025641025644,1.6239316239316242,62.393162393162406,overshoot,0,137.39999999999998,137.39999999999998,NA,NA,NA,NA,NA,NA,moderate_overshoot,TRUE,FALSE
Paratyphoid,enteric,TRUE,FALSE,moderate,0.24999999999999997,-75,1.2058823529411764,20.58823529411763,overshoot,157,75,-82,2021,0.0588235294117647,2023,2,TRUE,FALSE,moderate_overshoot,FALSE,TRUE
Pertussis,respiratory,FALSE,TRUE,high,0.1153846153846154,-88.46153846153845,1.635897435897436,63.589743589743584,overshoot,56678,50705,-5973,2021,0.03076923076923077,2024,3,TRUE,FALSE,moderate_overshoot,TRUE,TRUE
Pneumococcal disease (invasive),respiratory,FALSE,TRUE,high,0.6081081081081081,-39.18918918918919,1.2612612612612613,26.126126126126124,overshoot,1317,1678,361,2020,0.5405405405405405,2022,2,TRUE,FALSE,moderate_overshoot,FALSE,FALSE
Q fever,zoonotic,FALSE,FALSE,high,0.9090909090909092,-9.0909090909091,1.212121212121212,21.212121212121197,overshoot,155.79999999999995,717.4000000000001,561.6000000000001,NA,NA,NA,NA,NA,NA,moderate_overshoot,FALSE,FALSE
Ross River virus infection,vector_borne,FALSE,FALSE,high,0.8644859813084113,-13.551401869158871,0.4049844236760125,-59.50155763239875,sustained_suppression,13228,1115.1999999999998,-12112.8,2021,0.5607476635514019,NA,NA,FALSE,TRUE,sustained_suppression,FALSE,FALSE
Rotavirus,enteric,FALSE,TRUE,high,0.4473684210526316,-55.26315789473685,1.8596491228070176,85.96491228070177,overshoot,5133.6,15754.8,10621.2,2020,0.3684210526315789,2022,2,TRUE,FALSE,moderate_overshoot,TRUE,TRUE
Rubella,respiratory,FALSE,TRUE,low,0.24999999999999997,-75,0.2222222222222222,-77.77777777777779,sustained_suppression,68.6,0,-68.6,2020,0.16666666666666666,NA,NA,FALSE,TRUE,sustained_suppression,FALSE,FALSE
STEC,enteric,FALSE,FALSE,high,1.1655011655011656,16.550116550116552,2.1367521367521367,113.67521367521368,overshoot,0,2315,2315,NA,NA,NA,NA,NA,NA,major_overshoot,TRUE,FALSE
Salmonellosis,enteric,FALSE,FALSE,high,0.6804281345565749,-31.957186544342512,0.6778797145769623,-32.21202854230377,partial_recovery,27760.6,0,-27760.6,2021,0.6422018348623852,NA,NA,FALSE,TRUE,partial_slow,FALSE,FALSE
Shigellosis,enteric,TRUE,FALSE,high,0.5128205128205129,-48.717948717948715,1.4102564102564104,41.02564102564103,overshoot,2445.2000000000003,2840.7999999999997,395.59999999999945,2021,0.25641025641025644,2023,2,TRUE,FALSE,moderate_overshoot,FALSE,FALSE
Syphilis < 2 years,STI,FALSE,FALSE,high,1.2356321839080462,23.563218390804607,1.3409961685823757,34.09961685823755,overshoot,0,10017,10017,NA,NA,NA,NA,NA,NA,moderate_overshoot,FALSE,FALSE
Syphilis > 2 years or unspecified duration,STI,FALSE,FALSE,high,1.0465116279069768,4.651162790697678,1.2403100775193798,24.031007751937985,overshoot,0,2544.4000000000005,2544.4000000000005,NA,NA,NA,NA,NA,NA,moderate_overshoot,FALSE,FALSE
Syphilis congenital,STI,FALSE,FALSE,ultra_low,2.954545454545455,195.45454545454547,2.575757575757576,157.57575757575762,insufficient_data,0,59.8,59.8,NA,NA,NA,NA,NA,NA,insufficient_data,TRUE,FALSE
Tetanus,zoonotic,FALSE,FALSE,ultra_low,1.25,25,0.8333333333333334,-16.666666666666664,insufficient_data,7.4,4.6000000000000005,-2.799999999999999,NA,NA,NA,NA,NA,NA,insufficient_data,FALSE,FALSE
Tuberculosis,respiratory,FALSE,FALSE,high,1.0344827586206895,3.448275862068969,0.9770114942528736,-2.2988505747126355,returned,86.40000000000009,757.9999999999995,671.5999999999995,NA,NA,NA,NA,NA,NA,returned,FALSE,FALSE
Typhoid Fever,enteric,TRUE,FALSE,moderate,0.33222591362126247,-66.77740863787375,1.528239202657807,52.82392026578074,overshoot,194.4,345.20000000000005,150.80000000000007,2021,0.09966777408637874,2022,1,TRUE,FALSE,moderate_overshoot,TRUE,TRUE
Varicella zoster (chickenpox),respiratory,FALSE,TRUE,high,0.6944444444444444,-30.555555555555557,0.632716049382716,-36.728395061728406,partial_recovery,7046.800000000001,0,-7046.800000000001,2021,0.6018518518518519,NA,NA,FALSE,TRUE,partial_slow,FALSE,FALSE
Varicella zoster (shingles),respiratory,FALSE,FALSE,high,1.301261829652997,30.126182965299687,0.9674027339642484,-3.2597266035751784,returned,1284.800000000001,10440.2,9155.399999999998,NA,NA,NA,NA,NA,NA,returned,FALSE,FALSE
Varicella zoster (unspecified),respiratory,FALSE,FALSE,high,1.0456730769230769,4.567307692307689,1.4022435897435896,40.22435897435898,overshoot,1556.2000000000007,30978.999999999996,29422.799999999996,2020,0.8413461538461539,2021,1,TRUE,FALSE,moderate_overshoot,TRUE,FALSE
